Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
312;371.513;444.246;443.676;370.966;418.871;418.833
313;371.337;444.293;443.721;370.788;418.836;418.797
314;371.161;444.339;443.766;370.61;418.8;418.762
315;370.984;444.386;443.81;370.432;418.765;418.726
316;370.808;444.432;443.854;370.254;418.729;418.691
317;370.631;444.477;443.898;370.076;418.694;418.655
318;370.454;444.523;443.942;369.897;418.657;418.619
319;370.277;444.568;443.985;369.719;418.621;418.582
320;370.1;444.614;444.029;369.54;418.585;418.546
321;369.923;444.659;444.072;369.362;418.548;418.509
322;369.746;444.703;444.114;369.183;418.511;418.472
323;369.569;444.748;444.157;369.004;418.474;418.435
324;369.391;444.792;444.2;368.825;418.437;418.398
325;369.213;444.836;444.242;368.646;418.4;418.36
326;369.036;444.88;444.284;368.466;418.362;418.322
327;368.858;444.924;444.326;368.287;418.324;418.284
328;368.68;444.967;444.367;368.107;418.286;418.246
329;368.502;445.011;444.409;367.928;418.248;418.208
330;368.324;445.054;444.45;367.748;418.21;418.169
331;368.145;445.097;444.491;367.568;418.171;418.131
332;367.967;445.139;444.532;367.388;418.132;418.092
333;367.788;445.182;444.572;367.208;418.093;418.053
334;367.61;445.224;444.613;367.028;418.054;418.013
335;367.431;445.266;444.653;366.848;418.015;417.974
336;367.252;445.308;444.693;366.667;417.975;417.934
337;367.073;445.35;444.732;366.487;417.935;417.894
338;366.894;445.391;444.772;366.306;417.895;417.854
339;366.714;445.432;444.811;366.125;417.855;417.814
340;366.535;445.473;444.85;365.944;417.815;417.773
341;366.356;445.514;444.889;365.763;417.774;417.733
342;366.176;445.555;444.928;365.582;417.733;417.692
343;365.996;445.595;444.966;365.401;417.692;417.651
344;365.817;445.635;445.005;365.22;417.651;417.609
345;365.637;445.675;445.043;365.038;417.61;417.568
346;365.457;445.715;445.081;364.857;417.568;417.526
347;365.276;445.754;445.118;364.675;417.527;417.484
348;365.096;445.794;445.156;364.493;417.485;417.442
349;364.916;445.833;445.193;364.311;417.443;417.4
350;364.735;445.872;445.23;364.129;417.4;417.358
351;364.555;445.91;445.267;363.947;417.358;417.315
352;364.374;445.949;445.303;363.765;417.315;417.272
353;364.193;445.987;445.34;363.582;417.272;417.229
354;364.012;446.025;445.376;363.4;417.229;417.186
355;363.831;446.063;445.412;363.217;417.186;417.142
356;363.65;446.1;445.447;363.035;417.142;417.099
357;363.468;446.138;445.483;362.852;417.098;417.055
358;363.287;446.175;445.518;362.669;417.054;417.011
359;363.105;446.212;445.553;362.486;417.01;416.967
360;362.924;446.249;445.588;362.303;416.966;416.922
361;362.742;446.285;445.623;362.12;416.922;416.878
362;362.56;446.322;445.657;361.936;416.877;416.833
363;362.378;446.358;445.692;361.753;416.832;416.788
364;362.196;446.394;445.726;361.569;416.787;416.743
365;362.014;446.43;445.76;361.385;416.742;416.697
366;361.831;446.465;445.793;361.202;416.696;416.652
367;361.649;446.501;445.827;361.018;416.65;416.606
368;361.466;446.536;445.86;360.834;416.605;416.56
369;361.284;446.571;445.893;360.649;416.559;416.514
370;361.101;446.605;445.926;360.465;416.512;416.467
371;360.918;446.64;445.958;360.281;416.466;416.421
372;360.735;446.674;445.991;360.096;416.419;416.374
373;360.552;446.708;446.023;359.912;416.372;416.327
374;360.369;446.742;446.055;359.727;416.325;416.28
375;360.186;446.775;446.086;359.542;416.278;416.232
376;360.002;446.809;446.118;359.357;416.231;416.185
377;359.819;446.842;446.149;359.172;416.183;416.137
378;359.635;446.875;446.18;358.987;416.135;416.089
379;359.451;446.908;446.211;358.802;416.087;416.041
380;359.267;446.94;446.242;358.616;416.039;415.993
381;359.083;446.973;446.272;358.431;415.991;415.944
382;358.899;447.005;446.303;358.245;415.942;415.896
383;358.715;447.037;446.333;358.06;415.893;415.847
384;358.531;447.069;446.363;357.874;415.844;415.798
385;358.346;447.1;446.392;357.688;415.795;415.748
386;358.162;447.131;446.422;357.502;415.746;415.699
387;357.977;447.162;446.451;357.316;415.696;415.649
388;357.792;447.193;446.48;357.13;415.646;415.599
389;357.607;447.224;446.508;356.943;415.597;415.549
