a1(rad)
Temps(s)   a1(rad)     
2.830240 113.217939
2.834160 113.374751
2.838080 113.531562
2.842000 113.688374
2.845920 113.845185
2.849840 114.001997
2.853760 114.158808
2.857680 114.315620
2.861600 114.472432
2.865520 114.629243
2.869440 114.786055
2.873360 114.942866
2.877280 115.099678
2.881200 115.256489
2.885120 115.413301
2.889040 115.570112
2.892960 115.726924
2.896880 115.883736
2.900800 116.040547
2.904720 116.197359
2.908640 116.354170
2.912560 116.510982
2.916480 116.667793
2.920400 116.824605
2.924320 116.981416
2.928240 117.138228
2.932160 117.295039
2.936080 117.451851
2.940000 117.608663
2.943920 117.765474
2.947840 117.922286
2.951760 118.079097
2.955680 118.235909
2.959600 118.392720
2.963520 118.549532
2.967440 118.706343
2.971360 118.863155
2.975280 119.019967
2.979200 119.176778
2.983120 119.333590
2.987040 119.490401
2.990960 119.647213
2.994880 119.804024
2.998800 119.960836
3.002720 120.117647
3.006640 120.274459
3.010560 120.431270
3.014480 120.588082
3.018400 120.744894
3.022320 120.901705
3.026240 121.058517
3.030160 121.215328
3.034080 121.372140
3.038000 121.528951
3.041920 121.685763
3.045840 121.842574
3.049760 121.999386
3.053680 122.156198
3.057600 122.313009
3.061520 122.469821
3.065440 122.626632
3.069360 122.783444
3.073280 122.940255
3.077200 123.097067
3.081120 123.253878
3.085040 123.410690
3.088960 123.567501
3.092880 123.724313
3.096800 123.881125
3.100720 124.037936
3.104640 124.194748
3.108560 124.351559
3.112480 124.508371
3.116400 124.665182
3.120320 124.821994
3.124240 124.978805
3.128160 125.135617
3.132080 125.292429
3.136000 125.449240
3.139920 125.606052
3.143840 125.762863
3.147760 125.919675
3.151680 126.076486
3.155600 126.233298
3.159520 126.390109
3.163440 126.546921
3.167360 126.703732
3.171280 126.860544
3.175200 127.017356
3.179120 127.174167
3.183040 127.330979
3.186960 127.487790
3.190880 127.644602
3.194800 127.801413
3.198720 127.958225
3.202640 128.115036
3.206560 128.271848
3.210480 128.428660
3.214400 128.585471
3.218320 128.742283
3.222240 128.899094
3.226160 129.055906
3.230080 129.212717
3.234000 129.369529
3.237920 129.526340
3.241840 129.683152
3.245760 129.839963
3.249680 129.996775
3.253600 130.153587
3.257520 130.310398
3.261440 130.467210
3.265360 130.624021
3.269280 130.780833
3.273200 130.937644
3.277120 131.094456
3.281040 131.251267
3.284960 131.408079
3.288880 131.564891
3.292800 131.721702
3.296720 131.878514
3.300640 132.035325
3.304560 132.192137
3.308480 132.348948
3.312400 132.505760
3.316320 132.662571
3.320240 132.819383
3.324160 132.976194
3.328080 133.133006
3.332000 133.289818
3.335920 133.446629
3.339840 133.603441
3.343760 133.760252
3.347680 133.917064
3.351600 134.073875
3.355520 134.230687
3.359440 134.387498
3.363360 134.544310
3.367280 134.701122
3.371200 134.857933
3.375120 135.014745
3.379040 135.171556
3.382960 135.328368
3.386880 135.485179
3.390800 135.641991
3.394720 135.798802
3.398640 135.955614
3.402560 136.112425
3.406480 136.269237
3.410400 136.426049
3.414320 136.582860
3.418240 136.739672
3.422160 136.896483
3.426080 137.053295
3.430000 137.210106
3.433920 137.366918
3.437840 137.523729
3.441760 137.680541
3.445680 137.837353
3.449600 137.994164
3.453520 138.150976
3.457440 138.307787
3.461360 138.464599
3.465280 138.621410
3.469200 138.778222
3.473120 138.935033
3.477040 139.091845
3.480960 139.248656
3.484880 139.405468
3.488800 139.562280
3.492720 139.719091
3.496640 139.875903
3.500560 140.032714
3.504480 140.189526
3.508400 140.346337
3.512320 140.503149
3.516240 140.659960
3.520160 140.816772
3.524080 140.973584
3.528000 141.130395
3.531920 141.287207
3.535840 141.444018
3.539760 141.600830
3.543680 141.757641
3.547600 141.914453
3.551520 142.071264
3.555440 142.228076
3.559360 142.384887
3.563280 142.541699
3.567200 142.698511
3.571120 142.855322
3.575040 143.012134
3.578960 143.168945
3.582880 143.325757
3.586800 143.482568
3.590720 143.639380
3.594640 143.796191
3.598560 143.953003
3.602480 144.109815
3.606400 144.266626
3.610320 144.423438
3.614240 144.580249
3.618160 144.737061
3.622080 144.893872
3.626000 145.050684
3.629920 145.207495
3.633840 145.364307
3.637760 145.521118
3.641680 145.677930
3.645600 145.834742
3.649520 145.991553
3.653440 146.148365
3.657360 146.305176
3.661280 146.461988
3.665200 146.618799
3.669120 146.775611
3.673040 146.932422
3.676960 147.089234
3.680880 147.246046
3.684800 147.402857
3.688720 147.559669
3.692640 147.716480
3.696560 147.873292
3.700480 148.030103
3.704400 148.186915
3.708320 148.343726
3.712240 148.500538
3.716160 148.657350
3.720080 148.814161
3.724000 148.970973
3.727920 149.127784
3.731840 149.284596
3.735760 149.441407
3.739680 149.598219
3.743600 149.755030
3.747520 149.911842
3.751440 150.068653
3.755360 150.225465
3.759280 150.382277
3.763200 150.539088
